partidos
30-10-2022 Besiktas 5 - 2 Ümraniyespor
05-11-2022 Galatasaray 2 - 1 Besiktas
25-12-2022 Gaziantep BBK 1 - 1 Besiktas
29-12-2022 Besiktas 1 - 0 Adana Demirspor
07-01-2023 Besiktas 2 - 1 Kasimpasa
14-01-2023 Konyaspor 1 - 2 Besiktas
22-01-2023 Kayserispor 0 - 2 Besiktas
27-01-2023 Besiktas 3 - 0 Alanyaspor
31-01-2023 Fatih Karagümrük 1 - 1 Besiktas
04-02-2023 Sivasspor 1 - 0 Besiktas
08-08-2022 Buyuksehyr 4 - 0 Kasimpasa
15-08-2022 Konyaspor 0 - 0 Buyuksehyr
21-08-2022 Buyuksehyr 2 - 0 Kayserispor
03-09-2022 Buyuksehyr 2 - 0 Alanyaspor
12-09-2022 Besiktas 0 - 1 Buyuksehyr
18-09-2022 Buyuksehyr 0 - 0 Fatih Karagümrük
01-10-2022 Ankaragucu 1 - 2 Buyuksehyr
10-10-2022 Buyuksehyr 0 - 2 Sivasspor
16-10-2022 Buyuksehyr 2 - 0 İstanbulspor
22-10-2022 Fenerbahce 1 - 0 Buyuksehyr
31-10-2022 Buyuksehyr 3 - 1 Giresunspor
07-11-2022 Hatayspor 3 - 3 Buyuksehyr
12-11-2022 Buyuksehyr 0 - 7 Galatasaray
23-12-2022 Ümraniyespor 1 - 3 Buyuksehyr
27-12-2022 Buyuksehyr 2 - 0 Antalyaspor
05-01-2023 Gaziantep BBK 1 - 1 Buyuksehyr
09-01-2023 Buyuksehyr 2 - 1 Adana Demirspor
14-01-2023 Trabzonspor 1 - 0 Buyuksehyr
21-01-2023 Kasimpasa 1 - 3 Buyuksehyr
29-01-2023 Buyuksehyr 2 - 0 Konyaspor
02-02-2023 Kayserispor 1 - 0 Buyuksehyr
07-08-2022 Fatih Karagümrük 2 - 4 Alanyaspor
21-08-2022 Besiktas 4 - 1 Fatih Karagümrük
27-08-2022 Fatih Karagümrük 4 - 1 Ankaragucu
03-09-2022 Sivasspor 0 - 0 Fatih Karagümrük
10-09-2022 Fatih Karagümrük 1 - 1 Giresunspor
18-09-2022 Buyuksehyr 0 - 0 Fatih Karagümrük
03-10-2022 Fatih Karagümrük 1 - 2 İstanbulspor
09-10-2022 Fenerbahce 5 - 4 Fatih Karagümrük
15-10-2022 Fatih Karagümrük 3 - 0 Hatayspor
22-10-2022 Ümraniyespor 1 - 3 Fatih Karagümrük
28-10-2022 Fatih Karagümrük 0 - 2 Galatasaray
06-11-2022 Antalyaspor 4 - 2 Fatih Karagümrük
13-11-2022 Fatih Karagümrük 3 - 3 Gaziantep BBK
25-12-2022 Adana Demirspor 2 - 1 Fatih Karagümrük
28-12-2022 Fatih Karagümrük 4 - 1 Trabzonspor
04-01-2023 Kayserispor 2 - 4 Fatih Karagümrük
08-01-2023 Fatih Karagümrük 3 - 3 Konyaspor
15-01-2023 Kasimpasa 2 - 2 Fatih Karagümrük
22-01-2023 Alanyaspor 2 - 2 Fatih Karagümrük
31-01-2023 Fatih Karagümrük 1 - 1 Besiktas
04-02-2023 Ankaragucu 0 - 2 Fatih Karagümrük
08-08-2022 Fenerbahce 3 - 3 Ümraniyespor
15-08-2022 Kasimpasa 0 - 6 Fenerbahce
22-08-2022 Fenerbahce 4 - 2 Adana Demirspor
29-08-2022 Konyaspor 1 - 0 Fenerbahce
03-09-2022 Fenerbahce 2 - 0 Kayserispor
18-09-2022 Fenerbahce 5 - 0 Alanyaspor
02-10-2022 Besiktas 0 - 0 Fenerbahce
09-10-2022 Fenerbahce 5 - 4 Fatih Karagümrük
17-10-2022 Ankaragucu 0 - 3 Fenerbahce
22-10-2022 Fenerbahce 1 - 0 Buyuksehyr
30-10-2022 İstanbulspor 2 - 5 Fenerbahce
07-11-2022 Fenerbahce 1 - 0 Sivasspor
12-11-2022 Fenerbahce 1 - 2 Giresunspor
24-12-2022 Trabzonspor 2 - 0 Fenerbahce
27-12-2022 Fenerbahce 4 - 0 Hatayspor
03-01-2023 Antalyaspor 1 - 2 Fenerbahce
08-01-2023 Fenerbahce 0 - 3 Galatasaray
15-01-2023 Gaziantep BBK 1 - 2 Fenerbahce
23-01-2023 Ümraniyespor 1 - 2 Fenerbahce
29-01-2023 Fenerbahce 5 - 1 Kasimpasa
02-02-2023 Adana Demirspor 1 - 1 Fenerbahce
07-08-2022 Antalyaspor 0 - 1 Galatasaray
13-08-2022 Galatasaray 0 - 1 Giresunspor
19-08-2022 Ümraniyespor 0 - 1 Galatasaray
28-08-2022 Trabzonspor 0 - 0 Galatasaray
05-09-2022 Galatasaray 2 - 1 Gaziantep BBK
11-09-2022 Kasimpasa 2 - 3 Galatasaray
16-09-2022 Galatasaray 2 - 1 Konyaspor
01-10-2022 Adana Demirspor 0 - 0 Galatasaray
15-10-2022 Kayserispor 2 - 1 Galatasaray
23-10-2022 Galatasaray 2 - 2 Alanyaspor
28-10-2022 Fatih Karagümrük 0 - 2 Galatasaray
05-11-2022 Galatasaray 2 - 1 Besiktas
12-11-2022 Buyuksehyr 0 - 7 Galatasaray
25-12-2022 Galatasaray 2 - 1 İstanbulspor
29-12-2022 Sivasspor 1 - 2 Galatasaray
04-01-2023 Galatasaray 2 - 1 Ankaragucu
08-01-2023 Fenerbahce 0 - 3 Galatasaray
13-01-2023 Galatasaray 4 - 0 Hatayspor
21-01-2023 Galatasaray 2 - 1 Antalyaspor
28-01-2023 Giresunspor 0 - 4 Galatasaray
01-02-2023 Galatasaray 3 - 2 Ümraniyespor
05-02-2023 Galatasaray 2 - 1 Trabzonspor
06-08-2022 Sivasspor 1 - 1 Gaziantep BBK
14-08-2022 Gaziantep BBK 1 - 0 Ankaragucu
20-08-2022 Hatayspor 1 - 2 Gaziantep BBK
26-08-2022 Gaziantep BBK 5 - 2 Antalyaspor
05-09-2022 Galatasaray 2 - 1 Gaziantep BBK
11-09-2022 Gaziantep BBK 1 - 1 Ümraniyespor
18-09-2022 Trabzonspor 3 - 2 Gaziantep BBK
01-10-2022 Kasimpasa 1 - 0 Gaziantep BBK
07-10-2022 Gaziantep BBK 1 - 1 Adana Demirspor
15-10-2022 Konyaspor 0 - 1 Gaziantep BBK
29-10-2022 Alanyaspor 2 - 0 Gaziantep BBK
06-11-2022 Gaziantep BBK 1 - 2 Kayserispor
13-11-2022 Fatih Karagümrük 3 - 3 Gaziantep BBK
25-12-2022 Gaziantep BBK 1 - 1 Besiktas
29-12-2022 Giresunspor 2 - 1 Gaziantep BBK
05-01-2023 Gaziantep BBK 1 - 1 Buyuksehyr
